brand_shades,brand_short,product,product_short,hex,H,S,V,L,group,H_was_missing,S_was_missing,V_was_missing,L_was_missing,group_was_missing,brand_was_missing,brand_short_was_missing,product_was_missing,product_short_was_missing,hex_was_missing,brand_all,product_line,url,description,imgSrc,imgAlt,name,specific,colorspace,hue,sat,lightness,brand_missing,product_missing,url_missing,description_missing,imgSrc_missing,imgAlt_missing,name_missing,specific_missing,colorspace_missing,hex_missing,hue_missing,sat_missing,lightness_missing,approx_release_date,approx_release_date_dt,release_year,brand_shades_missing,brand_short_missing,product_shades_missing,product_short_missing,H_missing,S_missing,V_missing,L_missing,group_missing,H_was_missing_missing,S_was_missing_missing,V_was_missing_missing,L_was_missing_missing,group_was_missing_missing,brand_was_missing_missing,brand_short_was_missing_missing,product_was_missing_missing,product_short_was_missing_missing,hex_was_missing_missing,product_line_missing,brand_missing_missing,product_missing_missing,url_missing_missing,description_missing_missing,imgSrc_missing_missing,imgAlt_missing_missing,name_missing_missing,specific_missing_missing,colorspace_missing_missing,hex_missing_missing,hue_missing_missing,sat_missing_missing,lightness_missing_missing,approx_release_date_missing,approx_release_date_dt_missing,release_year_missing
,,,,#BE9D7B,,,,,,,,,,,,,,,,NYX Professional Makeup,Can't Stop Won't Stop Foundation,https://www.ulta.com/cant-stop-wont-stop-foundation?productId=xlsImpprod18871063,Buff (beige w/ neutral undertone),https://images.ulta.com/is/image/Ulta/2531968sw?$50px$,Buff (beige w/ neutral undertone),Buff,2,RGB,30.4477611940299,0.34010152284264,0.613725490196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/21,2021-01-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BEA086,,,,,,,,,,,,,,,,L'Oréal,True Match Super-Blendable Foundation Makeup,https://www.ulta.com/true-match-super-blendable-foundation-makeup?productId=fs1017872,Buff Beige,https://images.ulta.com/is/image/Ulta/2094983sw?$50px$,Buff Beige,Buff Beige,2,RGB,27.8571428571429,0.301075268817204,0.635294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/21,2021-04-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF7A4E,,,,,,,,,,,,,,,,Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-glow-light-reflecting-makeup-broad-spectrum-spf-15?productId=xlsImpprod16641043,"WN 94 Deep Neutral (medium, warm-neutral undertones)",https://images.ulta.com/is/image/Ulta/2515236sw?$50px$,"WN 94 Deep Neutral (medium, warm-neutral undertones)",Deep Neutral,WN 94,RGB,23.3628318584071,0.468879668049793,0.527450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/21,2021-04-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF7B43,,,,,,,,,,,,,,,,Clinique,Beyond Perfecting Powder Foundation + Concealer,https://www.ulta.com/beyond-perfecting-powder-foundation-concealer?productId=xlsImpprod12991071,Ginger,https://images.ulta.com/is/image/Ulta/2291657sw?$50px$,Ginger,Ginger,2,RGB,27.0967741935484,0.492063492063492,0.505882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/17,2017-04-01,2017.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF7B43,,,,,,,,,,,,,,,,Clinique,Even Better Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-makeup-broad-spectrum-spf-15?productId=xlsImpprod10791919,"WN 112 Ginger (deep, warm-neutral undertones)",https://images.ulta.com/is/image/Ulta/2206517sw?$50px$,"WN 112 Ginger (deep, warm-neutral undertones)",Ginger,WN 112,RGB,27.0967741935484,0.492063492063492,0.505882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/21,2021-02-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF7B43,,,,,,,,,,,,,,,,Clinique,Acne Solutions Liquid Makeup,https://www.ulta.com/acne-solutions-liquid-makeup?productId=xlsImpprod10791923,"Fresh Ginger (deep, warm-neutral undertones)",https://images.ulta.com/is/image/Ulta/2231016sw?$50px$,"Fresh Ginger (deep, warm-neutral undertones)",Fresh Ginger,2,RGB,27.0967741935484,0.492063492063492,0.505882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10/20,2020-10-01,2020.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF7B43,,,,,,,,,,,,,,,,Clinique,Stay Matte Oil-Free Makeup,https://www.ulta.com/stay-matte-oil-free-makeup?productId=xlsImpprod10791929,"WN 112 Ginger (medium/deep, warm-neutral undertones)",https://images.ulta.com/is/image/Ulta/2247050sw?$50px$,"WN 112 Ginger (medium/deep, warm-neutral undertones)",Ginger,WN 112,RGB,27.0967741935484,0.492063492063492,0.505882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/21,2021-01-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF7E4C,,,,,,,,,,,,,,,,Juvia's Place,I Am Magic Foundation,https://www.ulta.com/i-am-magic-foundation?productId=pimprod2006831,440 Savanna (for tan skin w/ cool olive undertones),https://images.ulta.com/is/image/Ulta/2550500sw?$50px$,440 Savanna (for tan skin w/ cool olive undertones),Savanna,440,RGB,26.0869565217391,0.473251028806584,0.523529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/21,2021-02-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF7E59,,,,,,,,,,,,,,,,Gucci,Fluide De Beauté Fini Naturel - Natural Finish Fluid Foundation,https://www.sephora.com/product/gucci-fluide-de-beaute-fini-naturel-natural-finish-fluid-foundation-P467622?icid2=products%20grid:p467622,420N medium deep with neutral undertones,/productimages/sku/s2405249+sw.jpg,420N 1 oz /30 ml,Neutral,420N,RGB,21.7647058823529,0.443478260869565,0.549019607843137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/25,2025-01-01,2025.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF8063,,,,,,,,,,,,,,,,Morphe,Fluidity Full-Coverage Foundation,https://www.ulta.com/fluidity-full-coverage-foundation?productId=pimprod2003463,F2.120 Neutral (medium w/ slightly pink undertones),https://images.ulta.com/is/image/Ulta/2541953sw?$50px$,F2.120 Neutral (medium w/ slightly pink undertones),Neutral,F2.120,RGB,18.9130434782609,0.418181818181818,0.568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/21,2021-01-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF814F,,,,,,,,,,,,,,,,Urban Decay Cosmetics,Hydromaniac Glowy Tinted Hydrator Foundation,https://www.ulta.com/hydromaniac-glowy-tinted-hydrator-foundation?productId=pimprod2021082,60 (medium dark warm),https://images.ulta.com/is/image/Ulta/2567743sw?$50px$,60 (medium dark warm),Neutral,60,RGB,26.7857142857143,0.466666666666667,0.529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03/21,2021-03-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,#BF8153,,,,,,,,,,,,,,,,It Cosmetics,Bye Bye Foundation Powder,https://www.ulta.com/bye-bye-foundation-powder?productId=pimprod2006363,Rich Honey (tan to rich complexion w/ cool undertones),https://images.ulta.com/is/image/Ulta/2547718sw?$50px$,Rich Honey (tan to rich complexion w/ cool undertones),Rich Honey,2,RGB,25.5555555555556,0.457627118644068,0.537254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01/21,2021-01-01,2021.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
